averageSpeed,highestStreak,untradedDeaths,tradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,hillTime,contestedHillTime,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalRotationKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,winner
1.506290283203125,4.0,13.0,1.0,21.01,6.23,15.0,13.0,90.0,0.0,23.0,14.0,6.0,42.5,4.59,1.05,11.0,19.0,5.0,25.25,31.0,5235.84,521.643515625,90.0,11.0,21.0,0.0,0.0,1.0,5.0,4.0,24.0,0.0,1.64,0
2.078211212158203,5.0,19.0,8.0,30.88,3.88,25.0,13.0,90.0,100.0,32.0,26.0,6.0,52.05,3.86,1.28,10.0,20.0,12.0,34.54,2.0,5059.04,701.76890625,73.0,14.0,24.0,0.0,0.0,1.0,6.0,6.0,32.0,0.0,1.23,1
2.1685504150390624,5.0,19.0,7.0,30.99,4.41,17.0,12.0,95.0,1.32,27.0,26.0,4.0,41.05,3.61,1.21,23.0,18.0,9.0,31.44,83.0,5009.12,674.248046875,58.0,3.0,25.0,1.0,0.0,0.0,4.0,6.0,27.0,0.0,1.04,0
2.011386108398437,2.0,17.0,9.0,29.99,3.99,19.0,12.0,91.0,100.0,15.0,26.0,10.0,34.65,2.61,95.0,9.0,10.0,5.0,23.16,1.0,4965.6,670.0953125,79.0,1.0,13.0,0.0,0.0,1.0,3.0,1.0,15.0,0.0,0.58,1
2.2684310913085928,5.0,17.0,9.0,32.02,4.24,20.0,11.0,94.0,1.25,24.0,26.0,4.0,32.85,3.17,1.02,9.0,15.0,9.0,25.02,0.0,4966.56,710.601171875,21.0,5.0,21.0,0.0,1.0,1.0,3.0,5.0,24.0,0.0,0.92,0
1.729811553955078,3.0,11.0,6.0,19.88,1.81,14.0,10.0,95.0,0.0,14.0,17.0,8.0,24.45,1.97,73.0,6.0,11.0,3.0,19.4,1.27,5339.68,588.5581640625,33.0,3.0,12.0,0.0,1.0,0.0,2.0,4.0,14.0,0.0,0.82,1
1.7660877990722657,2.0,10.0,10.0,23.94,3.36,17.0,16.0,94.0,0.0,12.0,20.0,10.0,29.35,2.74,72.0,4.0,7.0,5.0,21.98,31.0,5399.36,606.84546875,76.0,3.0,10.0,0.0,0.0,0.0,4.0,1.0,12.0,0.0,0.6,0
1.69939208984375,4.0,12.0,5.0,24.26,7.26,17.0,16.0,95.0,0.0,25.0,17.0,5.0,43.3,4.7,1.03,7.0,18.0,7.0,29.41,2.0,5424.96,608.9569921875,1.09,3.0,19.0,0.0,0.0,3.0,6.0,3.0,25.0,0.0,1.47,1
2.1520225524902346,4.0,26.0,5.0,34.82,3.4,23.0,25.0,98.0,55.0,29.0,31.0,7.0,39.0,3.64,1.3,8.0,16.0,13.0,30.75,27.0,5250.88,770.919453125,36.0,0.0,25.0,0.0,0.0,1.0,7.0,6.0,29.0,0.0,0.94,0
2.0176611328125,9.0,20.0,11.0,35.78,4.78,12.0,10.0,93.0,88.0,39.0,31.0,14.0,54.15,5.69,1.74,21.0,26.0,13.0,44.22,0.0,5264.8,698.434765625,24.0,0.0,33.0,1.0,0.0,1.0,8.0,4.0,38.0,0.0,1.26,1
