averageSpeed,highestStreak,untradedDeaths,tradedDeaths,damageTaken,damageHealed,tacticalsUsed,lethalsUsed,percentTimeMoving,deadSilenceTime,totalKills,totalDeaths,totalAssists,totalScore,totalShotsFired,totalShotsHit,totalShotsHead,untradedKills,tradedKills,totalDamageDealt,friendDamage,totalTimeAlive,totalDistanceTraveled,hillTime,contestedHillTime,totalInVictimFovKills,totalFirstBloodKills,totalLongshotKills,totalPointblankKills,totalRevengeKills,totalRotationKills,totalInAttackerFovKills,totalWallbangKills,killDeathRatio,matchGame.matchId,winner
1.7245318603515625,4.0,18.0,4.0,25.11,3.11,11.0,8.0,93.0,87.0,15.0,22.0,6.0,33.45,2.28,73.0,3.0,10.0,5.0,21.14,1.0,4468.0,520.771484375,87.0,4.0,13.0,0.0,0.0,1.0,4.0,4.0,15.0,0.0,0.68,10108,0
1.884652404785156,4.0,13.0,10.0,25.93,2.55,13.0,13.0,93.0,82.0,23.0,23.0,10.0,39.6,3.87,1.05,8.0,17.0,6.0,28.13,1.0,4386.56,577.8561328125,71.0,0.0,17.0,0.0,0.0,1.0,5.0,4.0,23.0,0.0,1.0,10108,1
1.6479927062988282,6.0,17.0,3.0,24.11,4.11,17.0,16.0,94.0,0.0,21.0,20.0,7.0,37.7,3.26,78.0,13.0,14.0,7.0,23.65,1.51,4444.64,487.980859375,87.0,0.0,17.0,0.0,1.0,0.0,4.0,4.0,22.0,0.0,1.05,10108,0
1.7328619384765624,3.0,10.0,9.0,25.78,6.52,11.0,13.0,98.0,0.0,20.0,19.0,8.0,32.65,3.38,89.0,13.0,15.0,5.0,27.82,0.0,4386.88,520.542890625,45.0,0.0,16.0,0.0,1.0,0.0,5.0,4.0,20.0,0.0,1.05,10108,1
1.6100390625,3.0,14.0,5.0,25.98,5.16,14.0,13.0,94.0,0.0,15.0,18.0,9.0,20.15,3.15,78.0,3.0,12.0,3.0,22.83,1.0,4547.04,484.4787109375,14.0,0.0,9.0,0.0,2.0,0.0,6.0,3.0,15.0,0.0,0.83,10108,0
1.6585505676269532,6.0,14.0,4.0,22.83,4.83,13.0,13.0,90.0,94.0,21.0,18.0,6.0,29.05,3.2,1.01,3.0,18.0,3.0,25.78,0.0,4573.6,495.33828125,28.0,1.0,17.0,0.0,1.0,1.0,5.0,3.0,21.0,0.0,1.17,10108,1
1.9244203186035158,4.0,19.0,3.0,27.26,4.26,18.0,11.0,99.0,93.0,19.0,22.0,5.0,25.25,2.12,80.0,4.0,15.0,4.0,21.36,2.0,4373.44,559.939921875,15.0,0.0,14.0,0.0,0.0,0.0,5.0,4.0,19.0,0.0,0.86,10108,0
1.3298707580566407,7.0,12.0,0.0,17.3,4.31,5.0,5.0,91.0,0.0,24.0,12.0,2.0,44.0,3.7,19.0,13.0,18.0,7.0,25.51,64.0,4834.08,422.1803515625,1.1,0.0,18.0,1.0,0.0,0.0,6.0,6.0,25.0,0.0,2.0,10108,1
1.9990327453613281,3.0,18.0,10.0,32.1,3.96,17.0,15.0,96.0,37.0,17.0,28.0,9.0,30.35,2.74,88.0,12.0,8.0,9.0,23.35,67.0,4053.76,530.9546875,31.0,1.0,16.0,0.0,0.0,0.0,4.0,5.0,18.0,0.0,0.61,10108,0
1.8487150573730469,5.0,13.0,5.0,22.86,4.16,16.0,16.0,92.0,38.0,28.0,18.0,7.0,51.75,3.21,97.0,12.0,21.0,7.0,26.15,51.0,4309.92,685.66546875,91.0,8.0,23.0,0.0,0.0,3.0,9.0,5.0,27.0,0.0,1.56,11216,1
1.6931341552734376,3.0,10.0,6.0,21.21,5.21,13.0,12.0,98.0,0.0,15.0,16.0,7.0,25.35,2.82,80.0,7.0,11.0,4.0,22.59,0.0,4980.96,586.0562890625,46.0,6.0,13.0,0.0,0.0,0.0,2.0,4.0,14.0,1.0,0.94,11216,0
